created_at,entry_id,field1
2022-11-19 16:00:17 UTC,50,1
2022-11-21 04:59:18 UTC,51,10
2022-11-21 04:59:35 UTC,52,12
2022-11-21 04:59:53 UTC,53,2
2022-11-21 05:00:11 UTC,54,2
2022-11-21 05:00:29 UTC,55,2
2022-11-21 05:00:47 UTC,56,1
2022-11-21 05:01:04 UTC,57,1
2022-11-21 05:01:22 UTC,58,4
2022-11-21 05:01:40 UTC,59,3
2022-11-21 05:01:58 UTC,60,3
2022-11-21 05:02:16 UTC,61,3
2022-11-21 05:02:33 UTC,62,2
2022-11-21 05:02:51 UTC,63,3
2022-11-21 05:03:09 UTC,64,2
2022-11-21 05:03:27 UTC,65,2
2022-11-21 05:03:45 UTC,66,2
2022-11-21 05:04:02 UTC,67,2
2022-11-21 05:04:20 UTC,68,2
2022-11-21 05:04:38 UTC,69,5
2022-11-21 05:04:56 UTC,70,4
2022-11-21 05:05:14 UTC,71,3
2022-11-21 05:05:31 UTC,72,3
2022-11-21 05:05:49 UTC,73,21
2022-11-21 05:06:07 UTC,74,6
2022-11-21 05:06:25 UTC,75,3
2022-11-21 05:06:43 UTC,76,3
2022-11-21 05:07:00 UTC,77,3
2022-11-21 05:07:18 UTC,78,3
2022-11-21 05:07:36 UTC,79,3
2022-11-21 05:07:54 UTC,80,3
2022-11-21 05:08:12 UTC,81,3
2022-11-21 05:08:29 UTC,82,3
2022-11-21 05:08:47 UTC,83,8
2022-11-21 05:09:05 UTC,84,3
2022-11-21 05:09:23 UTC,85,4
2022-11-21 05:09:41 UTC,86,3
2022-11-21 05:09:58 UTC,87,3
2022-11-21 05:10:16 UTC,88,3
2022-11-21 05:10:38 UTC,89,3
2022-11-21 05:10:56 UTC,90,7
2022-11-21 05:11:14 UTC,91,5
2022-11-21 05:11:32 UTC,92,4
2022-11-21 05:11:49 UTC,93,3
2022-11-21 05:12:07 UTC,94,3
2022-11-21 05:12:25 UTC,95,3
2022-11-21 05:12:43 UTC,96,3
2022-11-21 08:22:53 UTC,97,50
2022-11-21 08:23:16 UTC,98,36
2022-11-21 08:23:35 UTC,99,27
2022-11-21 08:23:56 UTC,100,27
2022-11-21 08:24:27 UTC,101,23
2022-11-21 08:25:11 UTC,102,2
2022-11-21 08:25:30 UTC,103,1
2022-11-21 08:25:45 UTC,104,2
2022-11-21 08:26:03 UTC,105,25
2022-11-21 08:26:20 UTC,106,7
2022-11-21 08:26:38 UTC,107,1
2022-11-21 08:26:55 UTC,108,1
2022-11-21 08:27:23 UTC,109,1
2022-11-21 08:27:40 UTC,110,1
2022-11-21 08:28:05 UTC,111,1
2022-11-21 08:28:23 UTC,112,1
2022-11-21 08:28:46 UTC,113,1
2022-11-21 08:29:17 UTC,114,1
2022-11-21 08:29:35 UTC,115,1
2022-11-21 08:29:53 UTC,116,1
2022-11-21 09:00:09 UTC,117,2
2022-11-21 09:00:34 UTC,118,1
2022-11-21 09:01:05 UTC,119,0
2022-11-21 09:01:31 UTC,120,1
2022-11-21 09:01:55 UTC,121,1
2022-11-21 09:02:14 UTC,122,1
2022-11-21 09:02:31 UTC,123,1
2022-11-21 09:02:49 UTC,124,1
2022-11-21 09:03:07 UTC,125,1
2022-11-21 09:03:25 UTC,126,1
2022-11-21 09:04:09 UTC,127,1
2022-11-21 09:04:27 UTC,128,1
2022-11-21 09:04:45 UTC,129,1
2022-11-21 09:05:03 UTC,130,1
2022-11-21 09:05:20 UTC,131,1
2022-11-21 09:05:38 UTC,132,1
2022-11-21 09:05:56 UTC,133,0
2022-11-21 09:06:14 UTC,134,0
2022-11-21 09:06:32 UTC,135,1
2022-11-21 09:06:50 UTC,136,1
2022-11-21 09:07:08 UTC,137,1
2022-11-21 09:07:29 UTC,138,0
2022-11-21 09:08:01 UTC,139,0
2022-11-21 09:08:19 UTC,140,1
2022-11-21 09:08:36 UTC,141,0
2022-11-21 09:08:55 UTC,142,1
2022-11-21 09:09:13 UTC,143,1
2022-11-21 09:09:30 UTC,144,0
2022-11-21 09:09:49 UTC,145,1
2022-11-21 09:10:06 UTC,146,1
2022-11-21 09:10:24 UTC,147,1
2022-11-21 09:46:14 UTC,148,43
2022-12-31 05:40:16 UTC,149,0
